Hochschule/Bibliothek,Bundesland,Stadt,ISIL,Wikidata-ID,SRU,DAIA
Universitäts- und Landesbibliothek Sachsen-Anhalt,Sachsen-Anhalt,Halle,DE-3,Q1600777,http://sru.gbv.de/opac-de-3,https://paia.gbv.de/DE-3/daia
Hochschule Merseburg,Sachsen-Anhalt,Merseburg,DE-542,Q47486421,http://sru.gbv.de/opac-de-542,https://paia.gbv.de/DE-542/daia
Universitätsbibliothek Magdeburg,Sachsen-Anhalt,Magdeburg,DE-Ma9,Q15133246,http://sru.gbv.de/opac-de-ma9,https://paia.gbv.de/DE-Ma9/daia
Fachhochschule Erfurt,Thüringen,Erfurt,DE-546,Q28738387,http://sru.gbv.de/opac-de-546,https://paia.gbv.de/DE-546/daia
Hochschule Nordhausen,Thüringen,Nordhausen,DE-564,Q28738399,http://sru.gbv.de/opac-de-564,https://paia.gbv.de/DE-564/daia
Universitätsbibliothek Ilmenau,Thüringen,Ilmenau,DE-Ilm1,Q1366123,http://sru.gbv.de/opac-de-ilm1,https://paia.gbv.de/DE-Ilm1/daia
Hochschule Schmalkalden,Thüringen,Schmalkalden,DE-Shm2,Q28738202,http://sru.gbv.de/opac-de-shm2,https://paia.gbv.de/DE-Shm2/daia
Universitätsbibliothek Weimar,Thüringen,Weimar,DE-Wim2,Q1581267,http://sru.gbv.de/opac-de-wim2,https://paia.gbv.de/DE-Wim2/daia
Hochschule für Musik Franz Liszt,Thüringen,Weimar,DE-Wim8,Q28738233,http://sru.gbv.de/opac-de-wim8,https://paia.gbv.de/DE-Wim8/daia
Universitäts- und Forschungsbibliothek Erfurt,Thüringen,Erfurt,DE-547,Q28776150,http://sru.gbv.de/opac-de-547,https://paia.gbv.de/DE-547/daia
Thüringer Universitäts- und Landesbibliothek,Thüringen,Jena,DE-27,Q1255096,http://sru.gbv.de/opac-de-27,https://jenlbs6.thulb.uni-jena.de:7242/DE-27/daia
Oberlausitzische Bibliothek der Wissenschaften,Sachsen,Görlitz,DE-Gl2,Q2010093,http://sru.gbv.de/opac-de-gl2,-
Universitätsbibliothek Leipzig,Sachsen,Leipzig,DE-15,Q872896,?,nicht öffentlich
Universitätsbibliothek der TU Chemnitz,Sachsen,Chemnitz,DE-Ch1,Q15480074,?,nicht öffentlich
SLUB Dresden,Sachsen,Dresden,DE-14,Q323270,?,nicht öffentlich
Universitätsbibliothek Freiberg,Sachsen,Freiberg,DE-105,Q2496296,?,nicht öffentlich
Bibliothek der Halle 14,Sachsen,Leipzig,DE-L328,Q1571434,http://sru.gbv.de/opac-de-l328,-
